Time,hold0,hold1
1710543167.5456448,2927958.50,252357.81
1710543167.6959536,2927958.50,252393.31
1710543167.8469534,2927958.50,252355.14
1710543167.997937,2927958.50,252696.87
1710543168.1487715,2927958.50,250574.73
1710543168.299663,2927958.50,241327.76
1710543168.4509125,2927958.50,241562.23
1710543168.6080258,2927958.50,244190.93
1710543168.7595403,2927958.50,132923.95
1710543168.910541,2927958.50,178928.70
1710543169.0611537,2927958.50,181207.40
1710543169.212103,2927958.50,182580.26
1710543169.363013,2927958.50,183124.93
1710543169.5138855,2927958.50,183290.21
1710543169.664614,2927958.50,183387.62
1710543169.8154519,2927958.50,183695.39
1710543169.9668632,2927958.50,184529.00
1710543170.1175704,2927958.50,184670.79
1710543170.268567,2927958.50,184531.29
1710543170.4193764,2927958.50,184151.98
1710543170.5705426,2927958.50,183807.65
1710543171.3896005,2927958.50,184221.17
1710543173.1540184,2927958.50,184636.82
1710543174.920253,2927958.50,184688.54
1710543176.6880677,2927958.50,184908.39
1710543178.4523158,2927958.50,185459.50
1710543180.2177787,2927958.50,185952.14
1710543181.9721444,2927958.50,186543.40
1710543183.7378013,2927958.50,186932.59
1710543185.503694,2927958.50,187274.32
1710543187.259492,2927958.50,187481.78
1710543189.032758,2927958.50,187630.31
1710543190.8016894,2927958.50,187586.60
1710543192.5659642,2927958.50,187764.45
